1t002:003	-	(,)	-	,␣
1t002:003	8	@	-	meidän␣
1t002:003	(6) 7	@	-	vapahtajallemme
1t002:003	9b	,	-	,␣
1t002:004	1t002:004	1t002:004	VERSE	1Tm␣2:4␣
1t002:004	1	@	-	joka␣
1t002:004	4	@	-	tahtoo
1t002:004	-	(,)	-	,␣
1t002:004	-	(@)	-	että␣
1t002:004	2	@	-	kaikki␣
1t002:004	3	@	-	ihmiset␣
1t002:004	5	@	-	pelastuisivat␣
1t002:004	6	@	-	ja␣
1t002:004	10a	@	-	tulisivat␣
1t002:004	8	@	-	tuntemaan␣
1t002:004	7	%case	LOC	
1t002:004	9	@	-	totuuden
1t002:004	10b	.	-	.␣
1t002:005	1t002:005	1t002:005	VERSE	1Tm␣2:5␣
1t002:005	2	@	-	Sillä␣
1t002:005	1	@	-	yksi␣
1t002:005	-	(@)	-	on␣
1t002:005	3a	@	-	Jumala
1t002:005	3b	,	-	,␣
1t002:005	4	@	-	yksi␣
1t002:005	5	@	-	myös␣
1t002:005	6	@	-	välimies␣
1t002:005	7	@	-	Jumalan␣
1t002:005	8	@	-	ja␣
1t002:005	9a	@	-	ihmisten␣
1t002:005	-	(@)	-	välillä
1t002:005	9b	,	-	,␣
1t002:005	10	@	-	ihminen␣
1t002:005	11	@	-	Kristus␣
1t002:005	12a	@	-	Jeesus
1t002:005	12b	,	-	,␣
1t002:006	1t002:006	1t002:006	VERSE	1Tm␣2:6␣
1t002:006	1	@	-	joka␣
1t002:006	2	@	-	antoi␣
1t002:006	3	@	-	itsensä␣
1t002:006	4	@	-	lunnaiksi␣
1t002:006	6a	@	-	kaikkien␣
1t002:006	5	@	-	edestä
1t002:006	-	(,)	-	,␣
1t002:006	-	(@)	-	josta␣
1t002:006	(7) 8	@	-	todistus␣
1t002:006	-	(@)	-	oli␣
1t002:006	-	(@)	-	annettava␣
1t002:006	9	@	-	aikanansa
1t002:006	10a	%pers	3	
1t002:006	10b	,	-	,␣
1t002:007	1t002:007	1t002:007	VERSE	1Tm␣2:7␣
1t002:007	-	(@)	-	ja␣
1t002:007	2	@	-	sitä␣
1t002:007	1	@	-	varten␣
1t002:007	4	@	-	minä␣
1t002:007	3	(@)	-	olen␣
1t002:007	5	@	-	saarnaajaksi␣
1t002:007	6	@	-	ja␣
1t002:007	7a	@	-	apostoliksi␣
1t002:007	3	@	-	asetettu␣
1t002:007	-	(-)	-	-␣
1t002:007	9	(@)	-	minä␣
1t002:007	9	@	-	puhun␣
1t002:007	8	@	-	totta
1t002:007	-	(,)	-	,␣
1t002:007	10	@	-	en␣
1t002:007	11a	@	-	valhettele␣
1t002:007	11b	-	-	-␣
1t002:007	13	@	-	pakanain␣
1t002:007	12	@	-	opettajaksi␣
1t002:007	15	@	-	uskossa␣
1t002:007	14	%case	LOC	
1t002:007	16	@	-	ja␣
1t002:007	17a	@	-	totuudessa
1t002:007	17b	.	-	.␣
1t002:008	1t002:008	1t002:008	VERSE	1Tm␣2:8␣
1t002:008	1	(@)	-	Minä␣
1t002:008	1	@	-	tahdon␣
1t002:008	2	@	-	siis
1t002:008	-	(,)	-	,␣
1t002:008	3	(@)	-	että␣
1t002:008	(4) 5	@	-	miehet␣
1t002:008	3	@	-	rukoilevat
1t002:008	-	(,)	-	,␣
1t002:008	7	@	-	joka␣
1t002:008	8	@	-	paikassa␣
1t002:008	6	%case	LOC	
1t002:008	9	@	-	kohottaen␣
