es001:016	-	(@)	-	"
es001:016	(13a) 13b	@	-	Kuningatar␣
es001:016	12	@	-	Vasti␣
es001:016	7	@	-	ei␣
es001:016	11	(@)	-	ole␣
es001:016	11	@	-	rikkonut␣
es001:016	10a 10b	@	-	ainoastaan␣
es001:016	(9a) 9b	@	-	kuningasta␣
es001:016	8	@	-	vastaan
es001:016	-	(,)	-	,␣
es001:016	14	@	-	vaan␣
es001:016	-	(@)	-	myös␣
es001:016	16	@	-	kaikkia␣
es001:016	(17a) 17b	@	-	ruhtinaita␣
es001:016	15	@	-	vastaan␣
es001:016	18a	@	-	ja␣
es001:016	19	@	-	kaikkia␣
es001:016	(20a) 20b	@	-	kansoja␣
es001:016	18b	@	-	vastaan␣
es001:016	(24a) 24b	@	-	kuningas␣
es001:016	25	@	-	Ahasveroksen␣
es001:016	22b	@	-	kaikissa␣
es001:016	21 22a	%case	LOC	
es001:016	23	@	-	maakunnissa
es001:016	-	(.)	-	.␣
es001:017	es001:017	es001:017	VERSE	Est␣1:17␣
es001:017	1	@	-	Kun␣
es001:017	(4a) 4b	@	-	kuningattaren␣
es001:017	3	@	-	teko␣
es001:017	2	@	-	tulee␣
es001:017	6	@	-	kaikkien␣
es001:017	(7a) 7b	@	-	vaimojen␣
es001:017	5	@	-	tietoon
es001:017	-	(,)	-	,␣
es001:017	tasp%8b	@	-	saattaa␣
es001:017	8b	(@)	-	se␣
es001:017	10b	@	-	heidät␣
es001:017	10a	%case	ACC	
es001:017	8b	@	-	halveksimaan␣
es001:017	8a	%case	LOC	
es001:017	9	@	-	aviomiehiänsä
es001:017	-	(,)	-	,␣
es001:017	pers%11b	@	-	he␣
es001:017	11a	@	-	kun␣
es001:017	11b	(@)	-	voivat␣
es001:017	11b	@	-	sanoa
es001:017	-	(:)	-	:␣
es001:017	-	(@)	-	'
es001:017	(12a) 12b	@	-	Kuningas␣
es001:017	13	@	-	Ahasveros␣
es001:017	14	@	-	käski␣
es001:017	15b	@	-	tuoda␣
es001:017	15a	%case	LAT	
es001:017	(18a) 18b	@	-	kuningatar␣
es001:017	17	@	-	Vastin␣
es001:017	16	%case	GEN	
es001:017	19a 19b	@	-	eteensä
es001:017	-	(,)	-	,␣
es001:017	20a	@	-	mutta␣
es001:017	21	(@)	-	tämä␣
es001:017	20b	@	-	ei␣
es001:017	21	@	-	tullut
es001:017	-	(@)	-	'
es001:017	-	(.)	-	.␣
es001:018	es001:018	es001:018	VERSE	Est␣1:18␣
es001:018	1a	@	-	Jo␣
es001:018	(2a) 2b	@	-	tänä␣
es001:018	(1b) 1c	@	-	päivänä␣
es001:018	3	(@)	-	voivat␣
es001:018	5	@	-	Persian␣
es001:018	6a	@	-	ja␣
es001:018	6b	@	-	Meedian␣
es001:018	4	@	-	ruhtinattaret
es001:018	-	(,)	-	,␣
es001:018	7	@	-	jotka␣
es001:018	8	@	-	kuulevat␣
es001:018	(11a) 11b	@	-	kuningattaren␣
es001:018	10	@	-	teon
es001:018	9	%case	GEN	
es001:018	-	(,)	-	,␣
es001:018	3	@	-	puhua␣
es001:018	-	(@)	-	siitä␣
es001:018	12b	@	-	kaikille␣
es001:018	12a	%case	LOC	
es001:018	(14a) 14b	@	-	kuninkaan␣
es001:018	13	@	-	ruhtinaille
es001:018	-	(,)	-	,␣
es001:018	15a	@	-	ja␣
es001:018	-	(@)	-	siitä␣
es001:018	-	(@)	-	tulee␣
es001:018	16	@	-	halveksimista␣
es001:018	17a	@	-	ja␣
es001:018	17b	@	-	suuttumusta␣
es001:018	15c	@	-	riittämään␣
es001:018	15b	@	-	asti
es001:018	-	(.)	-	.␣
es001:019	es001:019	es001:019	VERSE	Est␣1:19␣
es001:019	1	@	-	Jos␣
es001:019	(3a) 3b	@	-	kuningas␣
es001:019	2	%case	NOM	
es001:019	4	@	-	hyväksi␣
es001:019	4	@	-	näkee
es001:019	-	(,)	-	,␣
es001:019	5	@	-	julkaistakoon␣
es001:019	7	@	-	kuninkaallinen␣
es001:019	6	@	-	käsky␣
es001:019	(8a) (8b) (8c)	-	UNTRANSLATED	
es001:019	9a	@	-	ja␣
es001:019	9b	@	-	kirjoitettakoon␣
es001:019	14	@	-	muuttumatonna␣
es001:019	13a 13b	%inflection	DER.ADJ.ESS	
es001:019	11	@	-	Persian␣
es001:019	12a	@	-	ja␣
es001:019	12b	@	-	Meedian␣
es001:019	10b	@	-	lakeihin
es001:019	10a	%case	LOC	
es001:019	-	(,)	-	,␣
es001:019	15 16	@	-	ettei␣
es001:019	18	@	-	Vasti␣
es001:019	-	(@)	-	enää␣
es001:019	17	(@)	-	saa␣
es001:019	17	@	-	tulla␣
es001:019	(20a) 20b	@	-	kuningas␣
es001:019	21	@	-	Ahasveroksen␣
es001:019	19a 19b	@	-	eteen␣
es001:019	22a	@	-	ja␣
es001:019	-	(@)	-	että␣
es001:019	(24a) 24b	@	-	kuningas␣
es001:019	23	@	-	antaa␣
es001:019	pers%22b	@	-	hänen␣
es001:019	22b	@	-	kuninkaallisen␣
es001:019	22b	@	-	arvonsa␣
es001:019	25b	@	-	toiselle
es001:019	25a	%case	LOC	
es001:019	-	(,)	-	,␣
es001:019	27	@	-	häntä␣
es001:019	(26a) 26b	@	-	paremmalle
es001:019	-	(.)	-	.␣
es001:020	es001:020	es001:020	VERSE	Est␣1:20␣
es001:020	(1a)	-	UNTRANSLATED	
es001:020	(3a) 3b	@	-	Kuninkaan␣
es001:020	5	@	-	antama␣
es001:020	4	%case	NOM	
es001:020	2	@	-	säädös␣
es001:020	1b	(@)	-	tulee␣
es001:020	1b	@	-	tunnetuksi␣
es001:020	6b	@	-	koko␣
es001:020	6a	%case	?	
es001:020	pers%7	@	-	hänen␣
es001:020	7	@	-	valtakunnassansa
es001:020	-	(,)	-	,␣
es001:020	8	@	-	vaikka␣
es001:020	10	@	-	se␣
es001:020	-	(@)	-	onkin␣
es001:020	9	@	-	suuri
es001:020	-	(,)	-	,␣
es001:020	11a	@	-	ja␣
es001:020	11b	@	-	kaikki␣
es001:020	(12a) 12b	@	-	vaimot
es001:020	-	(,)	-	,␣
es001:020	16a 16b	@	-	niin␣
es001:020	16c	@	-	suuret␣
es001:020	17a 17b	@	-	kuin␣
es001:020	18	@	-	pienetkin
es001:020	-	(,)	-	,␣
es001:020	13	@	-	antavat␣
es001:020	14	@	-	kunnian␣
es001:020	15b	@	-	aviomiehillensä
es001:020	15a	%case	LOC	
es001:020	-	(.)	-	.
es001:020	-	(@)	-	"␣
es001:021	es001:021	es001:021	VERSE	Est␣1:21␣
es001:021	(1a)	-	UNTRANSLATED	
es001:021	2a	@	-	Tämä␣
es001:021	2b	@	-	puhe␣
es001:021	1b	@	-	miellytti␣
es001:021	(4a) 4b	@	-	kuningasta␣
es001:021	3a 3b	%case	PTV	
es001:021	5a	@	-	ja␣
es001:021	(5b) 5c	@	-	ruhtinaita
es001:021	-	(,)	-	,␣
es001:021	6a	@	-	ja␣
es001:021	(7a) 7b	@	-	kuningas␣
es001:021	6b	@	-	teki␣
es001:021	9	@	-	Memukanin␣
es001:021	8b	@	-	sanan␣
es001:021	8a	@	-	mukaan
es001:021	-	(.)	-	.␣
es001:022	es001:022	es001:022	VERSE	Est␣1:22␣
es001:022	(1a)	-	UNTRANSLATED	
es001:022	1b	(@)	-	Hän␣
es001:022	1b	@	-	lähetti␣
es001:022	4	@	-	kaikkiin␣
es001:022	3	%case	LOC	
es001:022	(6a) 6b	@	-	kuninkaan␣
es001:022	5	@	-	maakuntiin␣
es001:022	-	(-)	-	-␣
es001:022	-	(@)	-	kuhunkin␣
es001:022	7 9a 9b	%case	LOC	
es001:022	8	@	-	maakuntaan␣
es001:022	pers%10b	@	-	sen␣
es001:022	-	(@)	-	omalla␣
es001:022	10b	@	-	kirjoituksella␣
es001:022	10a	%case	LOC	
es001:022	11a	@	-	ja␣
es001:022	-	(@)	-	kullekin␣
es001:022	11b 13a 13b	%case	LOC	
es001:022	12	@	-	kansalle␣
es001:022	pers%14b	@	-	sen␣
es001:022	-	(@)	-	omalla␣
es001:022	14b	@	-	kielellä␣
es001:022	14a	%case	LOC	
es001:022	-	(-)	-	-␣
es001:022	2	@	-	kirjeet
es001:022	-	(,)	-	,␣
es001:022	15a	@	-	että␣
es001:022	16	@	-	joka␣
es001:022	17	@	-	mies␣
es001:022	15b	@	-	olkoon␣
es001:022	18	@	-	herra␣
es001:022	19b	@	-	talossaan␣
