cl001:010	6	πᾶς/3956/3821	ADJ.ACC.FEM.SG	πᾶσαν	pasan
cl001:010	7a	ἀρεσκεία/699/0696	ACC.FEM.SG	ἀρεσκείαν	areskeian
cl001:010	7b	-/-/-	-	,	,
cl001:010	8	ἐν/1722/1714	PREP	ἐν	en
cl001:010	9	πᾶς/3956/3821	ADJ.DAT.NEUT.SG	παντὶ	panti
cl001:010	10	ἔργον/2041/2035	DAT.NEUT.SG	ἔργῳ	ergō
cl001:010	11	ἀγαθός/18/0018	ADJ.DAT.NEUT.SG	ἀγαθῷ	agathō
cl001:010	12	καρποφορέω/2592&5723/2572	PRES.ACT.PART.NOM.MASC.PL	καρποφοροῦντες	karpoforūntes
cl001:010	13	καί/2532/2515	CNJ	καὶ	kai
cl001:010	14	αὐξάνω/837&5746/0832	PRES.PASS.PART.NOM.MASC.PL	αὐξανόμενοι	auksanomenoi
cl001:010	15	ὁ/3588/3455	ART.DAT.FEM.SG	τῇ	tē
cl001:010	16	ἐπίγνωσις/1922/1915	DAT.FEM.SG	ἐπιγνώσει	epignōsei
cl001:010	17	ὁ/3588/3455	ART.GEN.MASC.SG	τοῦ	tū
cl001:010	18a	θεός/2316/2298	GEN.MASC.SG	Θεοῦ	theū
cl001:010	18b	-/-/-	-	,	,
cl001:011	1	ἐν/1722/1714	PREP	ἐν	en
cl001:011	2	πᾶς/3956/3821	ADJ.DAT.FEM.SG	πάσῃ	pasē
cl001:011	3	δύναμις/1411/1413	DAT.FEM.SG	δυνάμει	dynamei
cl001:011	4	δυναμόω/1412&5746/1414	PRES.PASS.PART.NOM.MASC.PL	δυναμούμενοι	dynamūmenoi
cl001:011	5	κατά/2596/2576	PREP	κατὰ	kata
cl001:011	6	ὁ/3588/3455	ART.ACC.NEUT.SG	τὸ	to
cl001:011	7	κράτος/2904/2891	ACC.NEUT.SG	κράτος	kratos
cl001:011	8	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
cl001:011	9	δόξα/1391/1393	GEN.FEM.SG	δόξης	doksēs
cl001:011	10	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ	autū
cl001:011	11	εἰς/1519/1513	PREP	εἰς	eis
cl001:011	12	πᾶς/3956/3821	ADJ.ACC.FEM.SG	πᾶσαν	pasan
cl001:011	13	ὑπομονή/5281/5122	ACC.FEM.SG	ὑπομονὴν	hypomonēn
cl001:011	14	καί/2532/2515	CNJ	καὶ	kai
cl001:011	15a	μακροθυμία/3115/3105	ACC.FEM.SG	μακροθυμίαν	makrothymian
cl001:011	15b	-/-/-	-	,	,
cl001:011	16	μετά/3326/3207	PREP	μετὰ	meta
cl001:011	17	χαρά/5479/5318	GEN.FEM.SG	χαρᾶς	kharas
cl001:012	1	εὐχαριστέω/2168&5723/2158	PRES.ACT.PART.NOM.MASC.PL	εὐχαριστοῦντες	eukharistūntes
cl001:012	2	ὁ/3588/3455	ART.DAT.MASC.SG	τῷ	tō
cl001:012	3	πατήρ/3962/3827	DAT.MASC.SG	Πατρὶ	patri
cl001:012	4	ὁ/3588/3455	ART.DAT.MASC.SG	τῷ	tō
cl001:012	5	ἱκανόω/2427&5660/2409	AOR.ACT.PART.DAT.MASC.SG	ἱκανώσαντι	hikanōsanti
cl001:012	6	σύ/4771/4624	PRON.ACC.2pl	ὑμᾶς	hymas
cl001:012	7	εἰς/1519/1513	PREP	εἰς	eis
cl001:012	8	ὁ/3588/3455	ART.ACC.FEM.SG	τὴν	tēn
cl001:012	9	μερίς/3310/3191	ACC.FEM.SG	μερίδα	merida
cl001:012	10	ὁ/3588/3455	ART.GEN.MASC.SG	τοῦ	tū
cl001:012	11	κλῆρος/2819/2804	GEN.MASC.SG	κλήρου	klērū
