mk001:015	8	ἐγγίζω/1448&5758/1450	PERF.ACT.IND.3sg	ἤγγικεν	ēngiken
mk001:015	9	ὁ/3588/3455	ART.NOM.FEM.SG	ἡ	hē
mk001:015	10	βασιλεία/932/0929	NOM.FEM.SG	βασιλεία	basileia
mk001:015	11	ὁ/3588/3455	ART.GEN.MASC.SG	τοῦ	tū
mk001:015	12a	θεός/2316/2298	GEN.MASC.SG	Θεοῦ	theū
mk001:015	12b	-/-/-	-	·	·
mk001:015	13	μετανοέω/3340&5720/3221	PRES.ACT.IMP.2pl	μετανοεῖτε	metanoeite
mk001:015	14	καί/2532/2515	CNJ	καὶ	kai
mk001:015	15	πιστεύω/4100&5720/3966	PRES.ACT.IMP.2pl	πιστεύετε	pisteuete
mk001:015	16	ἐν/1722/1714	PREP	ἐν	en
mk001:015	17	ὁ/3588/3455	ART.DAT.NEUT.SG	τῷ	tō
mk001:015	18a	εὐαγγέλιον/2098/2085	DAT.NEUT.SG	εὐαγγελίῳ	euangeliō
mk001:015	18b	-/-/-	-	.	.
mk001:016	1	καί/2532/2515	CNJ	Καὶ	kai
mk001:016	2	παράγω/3855&5723/3720	PRES.ACT.PART.NOM.MASC.SG	παράγων	paragōn
mk001:016	3	παρά/3844/3709	PREP	παρὰ	para
mk001:016	4	ὁ/3588/3455	ART.ACC.FEM.SG	τὴν	tēn
mk001:016	5	θάλασσα/2281/2263	ACC.FEM.SG	θάλασσαν	thalassan
mk001:016	6	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
mk001:016	7	Γαλιλαία/1056/1054	GEN.FEM.SG	Γαλιλαίας	galilaias
mk001:016	8	ὁράω/3708&5627/3577	2AOR.ACT.IND.3sg	εἶδεν	eiden
mk001:016	9	Σίμων/4613/4469	ACC.MASC.SG	Σίμωνα	simōna
mk001:016	10	καί/2532/2515	CNJ	καὶ	kai
mk001:016	11	Ἀνδρέας/406/0411	ACC.MASC.SG	Ἀνδρέαν	andrean
mk001:016	12	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mk001:016	13	ἀδελφός/80/0081	ACC.MASC.SG	ἀδελφὸν	adelfon
mk001:016	14	Σίμων/4613/4469	GEN.MASC.SG	Σίμωνος	simōnos
mk001:016	15	ἀμφιβάλλω/0906&5723/0293	PRES.ACT.PART.ACC.MASC.PL	ἀμφιβάλλοντας	amfiballontas
mk001:016	16	ἐν/1722/1714	PREP	ἐν	en
mk001:016	17	ὁ/3588/3455	ART.DAT.FEM.SG	τῇ	tē
mk001:016	18a	θάλασσα/2281/2263	DAT.FEM.SG	θαλάσσῃ	thalassē
mk001:016	18b	-/-/-	-	·	·
mk001:016	19	εἰμί/1510&5707/1504	IMPF.ACT.IND.3pl	ἦσαν	ēsan
mk001:016	20	γάρ/1063/1062	CNJ	γὰρ	gar
mk001:016	21a	ἁλιεύς/231/0228	NOM.MASC.PL	ἁλεεῖς	haleeis
mk001:016	21b	-/-/-	-	.	.
mk001:017	1	καί/2532/2515	CNJ	καὶ	kai
mk001:017	2	λέγω/3004&5627/2992	2AOR.ACT.IND.3sg	εἶπεν	eipen
mk001:017	3	αὐτός/846/0841	PRON.DAT.MASC.PL	αὐτοῖς	autois
mk001:017	4	ὁ/3588/3455	ART.NOM.MASC.SG	ὁ	ho
mk001:017	5a	Ἰησοῦς/2424/2406	NOM.MASC.SG	Ἰησοῦς	iēsūs
mk001:017	5b	-/-/-	-	-	-
mk001:017	6	δεῦτε/1205&5720/1204	PRES.ACT.IMP.2pl	Δεῦτε	deute
mk001:017	7	ὀπίσω/3694/3564	ADV	ὀπίσω	opisō
mk001:017	8a	ἐγώ/1473/1476	PRON.GEN.1sg	μου	mū
mk001:017	8b	-/-/-	-	,	,
mk001:017	9	καί/2532/2515	CNJ	καὶ	kai
mk001:017	10	ποιέω/4160&5692/4024	FUT.ACT.IND.1sg	ποιήσω	poiēsō
mk001:017	11	σύ/4771/4624	PRON.ACC.2pl	ὑμᾶς	hymas
mk001:017	12	γίνομαι/1096&5635/1095	2AOR.MID/DEP.INF	γενέσθαι	genesthai
mk001:017	13	ἁλιεύς/231/0228	ACC.MASC.PL	ἁλεεῖς	haleeis
mk001:017	14a	ἄνθρωπος/444/0450	GEN.MASC.PL	ἀνθρώπων	anthrōpōn
mk001:017	14b	-/-/-	-	.	.
mk001:018	1	καί/2532/2515	CNJ	καὶ	kai
mk001:018	2	εὐθέως/2112/2100	ADV	εὐθὺς	euthys
mk001:018	3	ἀφίημι/863&5631/0860	2AOR.ACT.PART.NOM.MASC.PL	ἀφέντες	afentes
mk001:018	4	ὁ/3588/3455	ART.ACC.NEUT.PL	τὰ	ta
mk001:018	5	δίκτυον/1350/1349	ACC.NEUT.PL	δίκτυα	diktya
mk001:018	6	ἀκολουθέω/190&5656/0188	AOR.ACT.IND.3pl	ἠκολούθησαν	ēkolūthēsan
mk001:018	7a	αὐτός/846/0841	PRON.DAT.MASC.SG	αὐτῷ	autō
mk001:018	7b	-/-/-	-	.	.
mk001:019	1	καί/2532/2515	CNJ	Καὶ	kai
mk001:019	2	προβαίνω/4260&5631/4121	2AOR.ACT.PART.NOM.MASC.SG	προβὰς	probas
mk001:019	3	ὀλίγος/3641/3510	ADV	ὀλίγον	oligon
mk001:019	4	ὁράω/3708&5627/3577	2AOR.ACT.IND.3sg	εἶδεν	eiden
mk001:019	5	Ἰάκωβος/2385/2367	ACC.MASC.SG	Ἰάκωβον	iakōbon
mk001:019	6	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mk001:019	7	ὁ/3588/3455	ART.GEN.MASC.SG	τοῦ	tū
mk001:019	8	Ζεβεδαῖος/2199/2189	GEN.MASC.SG	Ζεβεδαίου	dzebedaiū
mk001:019	9	καί/2532/2515	CNJ	καὶ	kai
