lm001:015	6	-/7121/6834	Qal.3ms.PERF	קָרָ֥א	qārāʾ
lm001:015	7	-/5921a/5649	PREP	עָלַ֛י	ʿāl-ay
lm001:015	8	-/4150/3927	MASC.SG.ABS	מוֹעֵ֖ד	mowʿēd
lm001:015	9a	-/l/-	PREP	לִ	li
lm001:015	9b	-/7665/7505	INF.CSTR	שְׁבֹּ֣ר	šĕbor
lm001:015	10	-/970/0924	MASC.PL.CSTR-1cs	בַּחוּרָ֑י	baḥūr-āy
lm001:015	11	-/1660/1586	FEM.SG.ABS	גַּ֚ת	gat
lm001:015	12	-/1869/-	Qal.3ms.PERF	דָּרַ֣ךְ	dāraḵ
lm001:015	13	-/136/-	MASC.PL.CSTR-1cs	אֲדֹנָ֔י	ʾădonāy
lm001:015	14a	-/l/-	PREP	לִ	li
lm001:015	14b	-/1330/1272	FEM.SG.CSTR	בְתוּלַ֖ת	bĕtūlat
lm001:015	15	-/1323/1262	FEM.SG.CSTR	בַּת־	bat-
lm001:015	16	-/3063/2919	PR	יְהוּדָֽה׃	yĕhūdāh
lm001:015	17=í	-/-	-	ס	s
lm001:016	1	-/5921a/-	PREP	עַל־	ʿal-
lm001:016	2	-/428/0415	PRON	אֵ֣לֶּה׀	ʾēleh
lm001:016	3	-/589/0575	PRON	אֲנִ֣י	ʾănî
lm001:016	4	-/1058/-	Qal.FEM.SG.ACT.PCP.ABS	בוֹכִיָּ֗ה	bowḵîāh
lm001:016	5	-/5869a/5598	SG.CSTR-1cs	עֵינִ֤י׀	ʿên-î
lm001:016	6	-/5869a/5598	SG.CSTR-1cs	עֵינִי֙	ʿên-î
lm001:016	7	-/3381/3193	Qal.FEM.SG.ACT.PCP.ABS	יֹ֣רְדָה	yorĕdāh
lm001:016	8	-/4325/4097	MASC.PL.ABS	מַּ֔יִם	mayim
lm001:016	9	-/3588a/-	CNJ	כִּֽי־	kî-
lm001:016	10	-/7368/-	Qal.3ms.PERF	רָחַ֥ק	rāăḥq
lm001:016	11	-/4480a/4247	PREP	מִמֶּ֛נִּי	mim-enî
lm001:016	12	-/5162/4909	PI.MASC.SG.ACT.PCP.ABS	מְנַחֵ֖ם	mĕnaḥēm
lm001:016	13	-/7725/-	Hiph.MASC.SG.ACT.PCP.ABS	מֵשִׁ֣יב	mēšîb
